"Id Empenho";"CÛdigo Empenho";"CÛdigo Categoria de Despesa";"Categoria de Despesa";"CÛdigo Grupo de Despesa";"Grupo de Despesa";"CÛdigo Modalidade de AplicaÁ„o";"Modalidade de AplicaÁ„o";"CÛdigo Elemento de Despesa";"Elemento de Despesa";"CÛdigo SubElemento de Despesa";"SubElemento de Despesa";"DescriÁ„o";"Quantidade";"Valor Unit·rio";"Valor Total"
"43371593";"250030000012018NE800004";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"37";"LOCACAO DE MAO-DE-OBRA";"03";"VIGILANCIA OSTENSIVA";"SERVICO DE VIGILANCIA ARMADA                                                  000024015                                                                     PrestaÁ„o de serviÁos de vigil‚ncia armada: 12 (doze) horas diurnas, de segunda a domingo, envolvendo 2(dois) vigilantes em turnos de 12X36 horas.";"1,24127";"7372,28000";"9150,99000"
"43371593";"250030000012018NE800004";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"37";"LOCACAO DE MAO-DE-OBRA";"03";"VIGILANCIA OSTENSIVA";"SERVICO DE VIGILANCIA ARMADA                                                  000024015                                                                     PrestaÁ„o de serviÁos de vigil‚ncia armada: 12 (doze) horas noturnas, de segunda a domingo, envolvendo 2(dois) vigilantes em turnos de 12X36 horas.";",98739";"10127,71000";"9999,99958"
"43372088";"170178000012018NE800026";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"47";"OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS";"22";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"ENERGIA ELETRICA - FORNECIMENTO                                               000004120                                                                     ContrataÁ„o direta da empresa Rio Grande Energia S/A - RGE, para prestaÁ„o de serviÁos continuados de fornecimento de energia elÈtrica para a DRFCXL, a partir de 23/10/2016, por tempo indeterminado.";",00083";"54216,86000";"44,99999"
"43372161";"170183000012018NE800011";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"36";"OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA";"15";"LOCACAO DE IMOVEIS";"LOCACAO DE IMOVEL                                                             000004316";"1,00000";"3125,00000";"3125,00000"
"43372450";"170186000012018NE800016";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"44";"SERVICOS DE AGUA E ESGOTO";"FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO                             000022845                                                                     ContrataÁ„o direta da Companhia Riograndense de Saneamento (CORSAN), inscrita no Cadastro Nacional de Pessoas JurÌdicas sob o n˙mero 92.802.784/0001-90, cujo objeto È a prestaÁ„o de serviÁos de abastecimento de ·gua pot·vel e coleta de esgotos sanit·rios para os prÈdios de uso da Receita Federal do Brasil (RFB) no ‚mbito da Delegacia da Receita Federal do Brasil em Uruguaiana (DRF-URA), localizados nos municÌpios de Barra do QuaraÌ, Itaqui, QuaraÌ e S„o Borja, por";"1,00000";"4200,00000";"4200,00000"
"43471803";"170177000012018NE800016";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"77";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"SERVICO DE VIGILANCIA ARMADA                                                  000024015";"1,00000";"1,00000";"1,00000"
"43472608";"170180000012018NE800019";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"17";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"MANUTENCAO DE EQUIPAMENTOS DE COMUTACAO TELEFONICA                            000002666                                                                     ContrataÁ„o de pessoa jurÌdica para a prestaÁ„o de serviÁo de revis„o, assistÍncia tÈcnica e manutenÁ„o preventiva e corretiva com substituiÁ„o de peÁas na central telefÙnica marca ALCATEL MODELO 4300M, instalada na Delegacia da Receita Federal em Pelotas/RS.";"1,00000";"4194,90000";"4194,90000"
"43473309";"170187000012018NE800005";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"16";"MANUTENCAO E CONSERV. DE BENS IMOVEIS";"MANUTENCAO / REFORMA PREDIAL                                                  000001627                                                                     ContrataÁ„o de pessoa jurÌdica para a prestaÁ„o de serviÁos continuados de manutenÁ„o predial, com dedicaÁ„o exclusiva de m„o de obra, a serem executados nos imÛveis de uso da Inspetoria da Receita Federal do Brasil em Santana do Livramento, pelo perÌodo de 12 (doze) meses. Equipe residente formada por 2 oficiais eletricistas.";"1,00000";"1,00000";"1,00000"
"43571799";"170177000012018NE800014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"09";"ARMAZENAGEM";"ARMAZENAGEM EM GERAL                                                          000014087                                                                     PrestaÁ„o de SERVI«O DE ARMAZENAGEM PROVIS”RIA DE AGROT”XICOS ILEGAIS, conforme descriÁ„o detalhada costante no item 2 do Anexo I do Edital, atendendo a todas as exigÍncias legais cabÌveis para o setor, como licenÁas ambientais, de operaÁ„o, de impacto local, alvar·s, autorizaÁıes, permissıes, cadastramento, e ainda a manutenÁ„o da regularidade e validade da documentaÁ„o a que estiver obrigada a cumprir referente tambÈm a suas instalaÁıes, m·quinas, equipamentos e";"1,00000";"1,00000";"1,00000"
"43571813";"200346000012018NE800030";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"24";"VISTOS CONSULARES";"12,00000 M S                                                                  MANUAL T…CNICO DE MANUTEN«√O                                                  PeÁas e materiais, conforme relaÁ„o exemplificativa do ANEXO VI do TR, para manutenÁ„o preventiva, corretiva e preditiva nos sistemas, equipamentos e instalaÁıes prediais em uso pela PolÌcia Federal no estado da Bahia.                MARCA: Diversas  ITEM DO PROCESSO: 00003  ITEM DE MATERIAL: 000029343";"12,00000";"250,00000";"3000,00000"
"43571829";"170177000012018NE800009";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"19";"MANUTENCAO E CONSERV. DE VEICULOS";"MANUTENCAO DE VEICULOS LEVES / PESADOS                                        000003565                                                                     PrestaÁ„o de serviÁos continuados de manutenÁ„o preventiva e corretiva de veÌculos pertencentes ‡ frota oficial da SuperintendÍncia Regional da Receita Federal do Brasil da 10™ Regi„o Fiscal, da Delegacia da Receita Federal do Brasil em Porto Alegre, da Inspetoria da Receita Federal do Brasil em Porto Alegre e da Alf‚ndega da Receita Federal do Brasil do Aeroporto Internacional Salgado Filho, localizadas no municÌpio de Porto Alegre/RS.";"1,00000";"1,00000";"1,00000"
"43571944";"170184000012018NE800018";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"10";"LOCACAO DE IMOVEIS";"LOCACAO DE IMOVEL                                                             000004316                                                                     LocaÁ„o de imÛvel com ·rea total de 370,30 m2, localizado na rua Edmundo Saft, n∫ 2950, bairro centro da cidade de Taquara/RS para a ARF/TAQ";"48,00000";"187,50000";"9000,00000"
"43572107";"152005000012018NE800037";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"25";"TAXA DE ADMINISTRACAO";"ADMINISTRACAO / GERENCIAMENTO-MANUTENCAO VEICULO AUTOMOTIVO                   000025518                                                                     Fornecimento de CombustÌveis - Campus UruÁuca.";"1,00000";"20000,00000";"20000,00000"
"43572175";"170263000012018NE800014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"61";"SERVICOS DE SOCORRO E SALVAMENTO";"GUINCHO / REBOQUE                                                             000016160                                                                     Valor a ser adicionado ao serviÁo quando o reboque for realizado fora do municÌpio de Santa Cruz do Sul - veÌculos leves e mÈdios.";"1,00000";"1,00000";"1,00000"
"43572175";"170263000012018NE800014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"61";"SERVICOS DE SOCORRO E SALVAMENTO";"GUINCHO / REBOQUE                                                             000016160                                                                     ServiÁo de guincho/reboque dentro do DepÛsito Regional da DRF/SCS - veÌculos pesados.";"1,00000";"1,00000";"1,00000"
"43572175";"170263000012018NE800014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"61";"SERVICOS DE SOCORRO E SALVAMENTO";"GUINCHO / REBOQUE                                                             000016160                                                                     ServiÁo de reboque com guincho tipo Munck para movimentaÁ„o de equipamentos, materiais e mercadorias dentro do DepÛsito Regional da DRF/SCS.";"1,00000";"1,00000";"1,00000"
"43572175";"170263000012018NE800014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"61";"SERVICOS DE SOCORRO E SALVAMENTO";"GUINCHO / REBOQUE                                                             000016160                                                                     ServiÁo de guincho/reboque dentro do municÌpio de Santa Cruz do Sul - veÌculos leves e mÈdios";"1,00000";"1,00000";"1,00000"
"43572175";"170263000012018NE800014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"61";"SERVICOS DE SOCORRO E SALVAMENTO";"GUINCHO / REBOQUE                                                             000016160                                                                     ServiÁo de guincho/reboque dentro do DepÛsito Regional da DRF/SCS - veÌculos leves e mÈdios.";"1,00000";"1,00000";"1,00000"
"43572175";"170263000012018NE800014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"61";"SERVICOS DE SOCORRO E SALVAMENTO";"GUINCHO / REBOQUE                                                             000016160                                                                     Valor a ser adicionado quando o reboque for realizado fora do municÌpio de Santa Cruz do Sul - veÌculos pesados.";"1,00000";"1,00000";"1,00000"
"43572175";"170263000012018NE800014";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"61";"SERVICOS DE SOCORRO E SALVAMENTO";"GUINCHO / REBOQUE                                                             000016160                                                                     ServiÁo de guincho/reboque dentro do municÌpio de Santa Cruz do Sul - veÌculos pesados.";"1,00000";"1,00000";"1,00000"
"43572772";"170186000012018NE800025";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"43";"SERVICOS DE ENERGIA ELETRICA";"ENERGIA ELETRICA - FORNECIMENTO                                               000004120                                                                     ContrataÁ„o do serviÁo de distribuiÁ„o de energia elÈtrica alta tens„o na modalidade tarif·ria verde para o prÈdio sede da Delegacia da Receita Federal do Brasil em Uruguiana/RS.";"1,00000";"37500,00000";"37500,00000"
"43576052";"170187000012018NE800064";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"78";"LIMPEZA E CONSERVACAO";"LAVAGEM DE VEICULO AUTOMOTIVO                                                 000013544                                                                     Lavagem geral - veÌculos pesados - lavagem do exterior, interior e inferior.";"1,00000";"1,00000";"1,00000"
"43671701";"152005000012018NE000015";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"49";"AUXILIO-TRANSPORTE";"01";"AUXILIO-TRANSPORTE CIVIS";"ATENDER DESPESA COM PAGAMENTO DO AUXÌLIO TRANSPORTE AOS SERVIDORES CIVIS.";"1,00000";"195000,00000";"195000,00000"
"43671796";"170185000012018NE800001";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"36";"OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA";"15";"LOCACAO DE IMOVEIS";"LOCACAO DE IMOVEL                                                             000004316                                                                     LocaÁ„o do seguinte imÛvel: uma loja, localizada no piso tÈrreo do prÈdio n.∫ 396 da Avenida. General C‚mara, no quarteir„o formado por mais as ruas Coronel Pillar, Volunt·rios da P·tria e Andrade Neves, zona urbana da cidade de Cruz Alta/RS, com ·rea total de 235,1012m≤, sendo 210,5900m≤ de ·rea privativa real, e 24,5112m≤ de ·rea de uso comum de divis„o proporcional, constituindo-se das seguintes dependÍncias: a loja propriamente dita, dois banheiros, uma cozinh";"48,00000";"250,00000";"12000,00000"
"43671855";"170185000012018NE800010";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"79";"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL";"PRESTACAO DE SERVICOS DE TELEFONISTA                                          000013447                                                                     ContrataÁ„o de pessoa jurÌdica para a prestaÁ„o de serviÁos continuados de Atendimento TelefÙnico, para o perÌodo de 12 (doze) meses, prorrog·veis por iguais e sucessivos periodos, atÈ o limite de 60 meses, a serem prestados no prÈdio-sede da Delegacia da Receita Federal do Brasil em Santo ¬ngelo. Para os serviÁos de Atendimento TelefÙnico (CBO n.∫ 4222), no posto do turno da manh„ ser„o prestados de segunda ‡ sexta-feira, no hor·rio das 8h ‡s 12h, no total de 20";"12,00000";"977,56000";"11730,72000"
"43672223";"170263000012018NE800021";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"30";"MATERIAL DE CONSUMO";"39";"MATERIAL P/ MANUTENCAO DE VEICULOS";"1,00000 parcela                                                               PE«AS / ACESS”RIOS EQUIPAMENTOS OFICINA MANUTEN«√O                            PE«AS / ACESS”RIOS EQUIPAMENTOS OFICINA MANUTEN«√O, NOME PE«AS / ACESS”RIOS EQUIPAMENTOS OFICINA                                                            MARCA: ORIGINAL  ITEM DO PROCESSO: 00004  ITEM DE MATERIAL: 000150470";"1,00000";"1,00000";"1,00000"
"43672760";"170186000012018NE800032";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"43";"SERVICOS DE ENERGIA ELETRICA";"ENERGIA ELETRICA - FORNECIMENTO                                               000004120                                                                     ContrataÁ„o da empresa AES Sul - Distribuidora Ga˙cha de Energia S.A., CNPJ 02.016.440/0001-62, para prestaÁ„o de serviÁos de fornecimento de energia elÈtrica, na classe de consumo baixa tens„o para os prÈdios da Delegacia da Receita Federal do Brasil em Uruguaiana, por prazo indeterminado.";"1,00000";"3600,00000";"3600,00000"
"43771450";"253033362132018NE800010";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"43";"SERVICOS DE ENERGIA ELETRICA";"ENERGIA ELETRICA - FORNECIMENTO                                               000004120                                                                     ContrataÁ„o de empresa para fornecimento de energia elÈtrica necess·ria para atender a demanda na Sede da AgÍncia Nacional de Sa˙de Suplementar   ANS, na cidade do BelÈm - PA, por prazo indeterminado, com vigÍncia a partir de 01∫ de janeiro de 2018.";"1,00000";"3000,00000";"3000,00000"
"43771551";"152005000012018NE000026";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"14";"DIARIAS - PESSOAL CIVIL";"16";"DIARIAS NO EXTERIOR";"ATENDER DESPESAS REALIZADAS A TITULO DE DIARIAS NO EXTERIOR";"1,00000";"5000,00000";"5000,00000"
"43771629";"250030000012018NE800007";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"10";"LOCACAO DE IMOVEIS";"LOCACAO DE IMOVEL                                                             000004316                                                                     LocaÁ„o de imÛvel para abrigar as instalaÁıes da unidade descentralizada do N˙cleo Estadual do MinistÈrio da Sa˙de no PiauÌ, conforme Edital de Chamamento ao P˙blico n∫ 01/2014. ImÛvel situado a Rua Lisandro Nogueira, 2027, esquina com a Rua Magalh„es Filho, Centro, Teresina-PI.";"1,14368";"63000,13000";"72051,98868"
"43771675";"170184000012018NE800024";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"33";"PASSAGENS E DESPESAS COM LOCOMOCAO";"09";"TRANSPORTE DE SERVIDORES";"PRESTACAO DE SERVICO DE TRANSPORTE PARA SERVIDOR ENVOLVENDO                   VEICULO/CONDUCAO/MANUTENCAO/COMBUSTIVEL-OUTRAS NECESSIDADES 000024210         PrestaÁ„o de serviÁos continuados de transporte de servidores, documentos, mercadorias, equipamentos e cargas, mediante a disponibilizaÁ„o de veÌculos com motorista, combustÌveis e demais insumos para a Delegacia da Receita Federal do Brasil em Novo Hamburgo e unidades administrativas a ela vinculadas";"1,00000";"78000,00000";"78000,00000"
"43771951";"170185000012018NE800029";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"44";"SERVICOS DE AGUA E ESGOTO";"FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO                             000022845                                                                     PrestaÁ„o dos serviÁos de fornecimento de ·gua pot·vel e de coleta e tratamento de esgoto sanit·rio para a Delegacia da Receita Federal do Brasil em Santo ¬ngelo/RS, as AgÍncias da Receita Federal do Brasil em IjuÌ/RS, Palmeira das Missıes/RS e S„o Luiz Gonzaga/RS e Inspetorias da Receita Federal do Brasil em Porto Xavier/RS e TrÍs Passos/RS, pelo perÌodo de 60 (sessenta) meses, a partir de 01/01/2018, admitidas prorrogaÁıes por iguais e sucessivos perÌodos.";"60,00000";",16000";"9,60000"
"43772176";"170178000012018NE800002";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"77";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"INSTALACAO / MANUTENCAO / MONITORIZACAO - SISTEMA ALARME /                    SEGURANCA 000014826                                                           ContrataÁ„o de pessoa jurÌdica especializada para a prestaÁ„o de serviÁos continuados de monitoramento ‡ dist‚ncia do sistema de vigil‚ncia eletrÙnica instalado na AgÍncia da Receita Federal do Brasil em Bento GonÁalves, incluindo a manutenÁ„o dos equipamentos instalados.";"3,00000";"235,70000";"707,10000"
"43772176";"170178000012018NE800002";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"77";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"INSTALACAO / MANUTENCAO / MONITORIZACAO - SISTEMA ALARME /                    SEGURANCA 000014826                                                           ContrataÁ„o de pessoa jurÌdica especializada para a prestaÁ„o de serviÁos continuados de monitoramento ‡ dist‚ncia do sistema de vigil‚ncia eletrÙnica instalado na AgÍncia da Receita Federal do Brasil em GuaporÈ, incluindo a manutenÁ„o dos equipamentos instalados.";"3,00000";"235,41000";"706,23000"
"43772176";"170178000012018NE800002";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"77";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"INSTALACAO / MANUTENCAO / MONITORIZACAO - SISTEMA ALARME /                    SEGURANCA 000014826                                                           ContrataÁ„o de pessoa jurÌdica especializada para a prestaÁ„o de serviÁos continuados de monitoramento ‡ dist‚ncia do sistema de vigil‚ncia eletrÙnica instalado na AgÍncia da Receita Federal do Brasil em VeranÛpolis, incluindo a manutenÁ„o dos equipamentos instalados.";"3,00000";"243,72000";"731,16000"
"43772176";"170178000012018NE800002";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"90";"APLICACOES DIRETAS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDIC";"77";"VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO";"INSTALACAO / MANUTENCAO / MONITORIZACAO - SISTEMA ALARME /                    SEGURANCA 000014826                                                           ContrataÁ„o de pessoa jurÌdica especializada para a prestaÁ„o de serviÁos continuados de monitoramento ‡ dist‚ncia do sistema de vigil‚ncia eletrÙnica instalado na AgÍncia da Receita Federal do Brasil em Canela, incluindo a manutenÁ„o dos equipamentos instalados.";"3,00000";"233,15000";"699,45000"
